city,property_type,neighbourhood,listing_url,room_type,guests,bedrooms,beds,bathrooms,bathroom_type,price_per_night,rating,review_count,latitude,longitude,is_superhost,host_response_rate,host_identity_verified,free_cancellation,amenities
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/1632887953934369828,Entire home,5.0,2.0,3.0,2.0,private,227,5.0,6,34.2566,-118.4138,False,100.0,True,False,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Bidet, Hot water, Washer, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage, TV, Air conditioning, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Trash compactor, Barbecue utensils, Dining table, Coffee, Bread maker, BBQ grill, Free parking on premises, Pets allowed, Self check-in, Building staff, Unavailable: DryerDryer, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Home,Glendale,https://www.airbnb.com/rooms/1568984493427752016,Entire home,12.0,4.0,6.0,4.0,private,671,4.94,16,34.16757,-118.26031,False,96.0,True,False,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Outdoor shower, Hot water, Shower gel, Washer, Free dryer, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage: closet, TV, Sound system, Pool table, Books and reading material, Fireplace guards, Board games, Air conditioning, Indoor fireplace, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Refrigerator, Microwave, Dishes and silverware, Freezer, Dishwasher, Stove, Oven, Coffee maker: drip coffee maker, Wine glasses, Toaster, Blender, Barbecue utensils, Dining table, Coffee, Private entrance, Laundromat nearby, Patio or balcony, Private backyard – Fully fenced, Fire pit, Outdoor furniture, Outdoor dining area, Outdoor kitchen, BBQ grill, Sun loungers, Free parking on premises, Free street parking, Pool, Pets allowed, Luggage dropoff allowed, Long term stays allowed, Self check-in, Keypad, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/1245888998483557360,Entire home,11.0,3.0,5.0,3.0,private,491,4.94,66,34.1783,-118.4425,True,100.0,True,False,"Bathtub, Hair dryer, Cleaning products, Shampoo, Hot water, Shower gel, Washer, Dryer, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage: walk-in closet and closet, TV, Crib, Pack ’n play/Travel crib - available upon request, Children’s books and toys for ages 2-5 years old, Children’s dinnerware, Air conditioning, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, Wifi, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Gas stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Dining table, Coffee, Free parking garage on premises, Free street parking, Luggage dropoff allowed, Long term stays allowed, Self check-in, Keypad"
"Los Angeles, CA, USA",Guesthouse,Los Angeles,https://www.airbnb.com/rooms/1480447050902507305,Entire guesthouse,3.0,1.0,3.0,1.0,private,312,5.0,36,34.09385,-118.17186,True,100.0,True,False,"City skyline view, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Dryer, Hangers, Extra pillows and blankets, Room-darkening shades, Iron, Drying rack for clothing, Clothing storage, Ethernet connection, TV, Piano, Changing table, Air conditioning, Heating - split type ductless system, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, Wifi, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Stove, Hot water kettle, Coffee maker, Wine glasses, Rice maker, Trash compactor, Barbecue utensils, Dining table, Coffee, Private entrance, Patio or balcony, Outdoor furniture, Outdoor dining area, BBQ grill, Free parking on premises, Free street parking, Pets allowed, Long term stays allowed, Self check-in, Smart lock, Unavailable: EssentialsEssentials"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/1626378212932060016,Entire home,6.0,2.0,4.0,1.0,private,193,4.89,1,34.03194,-118.18657,True,99.0,True,False,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Free dryer – In unit, Essentials, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage: closet, Ethernet connection, TV, Books and reading material, Board games, Air conditioning, Ceiling fan, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Dining table, Coffee, Private entrance, Free parking on premises, Unavailable: Heating - split type ductless systemHeating - split type ductless system"
"Los Angeles, CA, USA",Home,West Hollywood,https://www.airbnb.com/rooms/27929213,Entire home,8.0,3.0,3.0,3.0,private,856,4.98,166,34.11835,-118.36024,True,100.0,True,False,"Garden view, Bathtub, Hair dryer, Shampoo, Hot water, Washer, Dryer, Essentials, Hangers, Bed linens, Extra pillows and blankets, Iron, TV with standard cable, Fireplace guards, Air conditioning, Indoor fireplace, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Freezer, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Wine glasses, Toaster, Baking sheet, Blender, Rice maker, Dining table, Coffee, Private entrance, Private patio or balcony, Backyard, Free parking on premises, Free street parking, Private hot tub, Pets allowed, Self check-in, Smart lock"
"Los Angeles, CA, USA",Home,Rancho Palos Verdes,https://www.airbnb.com/rooms/1310350284231870384,Entire home,8.0,4.0,5.0,3.0,private,649,5.0,2,33.7347,-118.33658,False,100.0,True,False,"Resort view, Sea view, Ocean view, Golf course view, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Bidet, Hot water, Shower gel, Free washer – In unit, Free dryer – In unit, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Safe, Clothing storage: closet, Ethernet connection, 65 inch HDTV with Fire TV, Bose sound system with Bluetooth and aux, Game console: Xbox 360, Children’s books and toys for ages 0-2 years old and 2-5 years old, Board games, Outdoor playground, Central air conditioning, Indoor fireplace: electric, gas, Ceiling fan, Central heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, First aid kit, Wifi, Dedicated workspace, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Mini fridge, Freezer, Dishwasher, Viking stainless steel gas stove, Stainless steel double oven, Hot water kettle, Coffee maker: Keurig coffee machine, Toaster, Baking sheet, Blender, Rice maker, Barbecue utensils, Dining table, Coffee, Waterfront, Laundromat nearby, Private patio or balcony, Private backyard, Fire pit, Outdoor furniture, Private BBQ grill: gas, Free parking garage on premises – 2 spaces, Free street parking, Private hot tub, EV charger - level 2, tesla only, Pets allowed, Luggage dropoff allowed, Long term stays allowed, Self check-in, Keypad"
"Los Angeles, CA, USA",Home,West Hollywood,https://www.airbnb.com/rooms/1623688061916867334,Entire home,6.0,3.0,3.0,3.0,private,1864,4.53,1,34.09719,-118.36927,False,98.0,True,False,"Washer, TV, Air conditioning, Indoor fireplace, Smoke alarm, Carbon monoxide alarm, Wifi, Dedicated workspace, Kitchen, Fire pit, Outdoor dining area, BBQ grill, Free parking on premises, Pool, Hot tub, Pets allowed, Unavailable: Exterior security cameras on propertyExterior security cameras on property, Unavailable: DryerDryer, Unavailable: EssentialsEssentials, Unavailable: HeatingHeating, Unavailable: Hot waterHot water"
"Los Angeles, CA, USA",Home,Los Angeles,https://www.airbnb.com/rooms/1583425609042811538,Entire home,12.0,5.0,7.0,5.0,private,2009,5.0,14,34.12883,-118.37052,True,99.0,True,False,"Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Dryer, Essentials, Hangers, Bed linens, Extra pillows and blankets, Iron, Clothing storage, TV, Sound system, Pool table, Central air conditioning, Indoor fireplace, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, Wifi, Kitchen, Refrigerator, Microwave, Cooking basics, Dishes and silverware, Mini fridge, Dishwasher, Stove, Oven, Hot water kettle, Coffee maker, Toaster, Barbecue utensils, Dining table, Coffee, Private entrance, Patio or balcony, Backyard, Fire pit, Outdoor furniture, Outdoor kitchen, BBQ grill, Free parking garage on premises – 6 spaces, Outdoor pool, Hot tub"
"Los Angeles, CA, USA",Home,Inglewood,https://www.airbnb.com/rooms/1628675655114986730,Entire home,8.0,3.0,4.0,2.0,private,265,5.0,8,33.97651,-118.33936,False,100.0,True,False,"Bathtub, Hair dryer, Cleaning products, Shampoo, Conditioner, Body soap, Hot water, Shower gel, Washer, Dryer, Essentials, Hangers, Bed linens, Extra pillows and blankets, Room-darkening shades, Iron, Clothing storage, TV, Arcade games, Books and reading material, Crib, High chair, Outlet covers, Board games, Air conditioning, Heating, Exterior security cameras on property, Smoke alarm, Carbon monoxide alarm, Fire extinguisher, Wifi, Kitchen, Microwave, Cooking basics, Dishwasher, Hot water kettle, Coffee maker: Nespresso, Blender, Barbecue utensils, Coffee, Backyard, Fire pit, BBQ grill, Bikes, Free parking on premises, Pets allowed, Self check-in, Smart lock"
